site,year,month,Tave,Tmin,Tmax,ppt,rs.ppt
Stavely,2019,10,2.493548387,-2.990322581,7.977419355,21.6,21.6
Stavely,2019,11,-1.218333333,-5.706666667,3.27,41.6,41.6
Stavely,2019,12,-3.440645161,-8.042580645,1.161290323,9.54,9.54
Twinriver,2016,1,-4.767327957,-9.266989247,-0.267666667,10.36666667,10.36666667
Twinriver,2016,2,1.666844828,-4.143321839,7.477011494,4.866666667,4.866666667
Twinriver,2016,3,2.787537634,-3.466795699,9.041870968,21.6,21.6
Twinriver,2016,4,7.195138889,0.622522222,13.76775556,38.66666667,38.66666667
Twinriver,2016,5,8.993241935,2.739225806,15.24725806,83.96666667,46.18166667
Twinriver,2016,6,14.76442778,7.4653,22.06355556,35.9,19.745
Twinriver,2016,7,16.69540323,9.608225806,23.78258065,66.93333333,36.81333333
Twinriver,2016,8,16.22224731,8.926430108,23.51806452,47.83333333,26.30833333
Twinriver,2016,9,11.1823,4.5514,17.8132,46.96666667,25.83166667
Twinriver,2016,10,4.860311828,-0.735623656,10.45624731,40.1,40.1
Twinriver,2016,11,3.965433333,-1.790877778,9.721744444,11.1,11.1
Twinriver,2016,12,-11.53888172,-15.89490323,-7.182860215,19.76666667,19.76666667
Twinriver,2017,1,-8.64233871,-13.31778495,-3.966892473,11.63333333,11.63333333
Twinriver,2017,2,-6.598017857,-10.99880952,-2.19722619,22.86666667,22.86666667
Twinriver,2017,3,-1.20016129,-6.804236559,4.403913978,16.4,16.4
Twinriver,2017,4,4.816855556,-0.898733333,10.53244444,61.5,61.5
Twinriver,2017,5,11.23805376,3.955408602,18.52069892,69.53333333,38.24333333
Twinriver,2017,6,14.41297778,7.780955556,21.045,86.03333333,47.31833333
Twinriver,2017,7,19.79823656,10.79389247,28.80258065,26.23333333,14.42833333
Twinriver,2017,8,17.81709677,9.376344086,26.25784946,9.3,5.115
Twinriver,2017,9,12.3915,5.060766667,19.72223333,11.5,6.325
Twinriver,2017,10,4.938236559,-0.879946237,10.75641935,33.33333333,33.33333333
Twinriver,2017,11,-2.870405556,-7.577411111,1.8366,22.73333333,22.73333333
Twinriver,2017,12,-7.288688172,-12.553,-2.024376344,27.86666667,27.86666667
Twinriver,2018,1,-5.244876344,-10.58544086,0.095688172,11.3,11.3
Twinriver,2018,2,-13.04673214,-18.88428571,-7.209178571,26.13333333,26.13333333
Twinriver,2018,3,-4.368623656,-9.22,0.482752688,26.36666667,26.36666667
Twinriver,2018,4,1.194261111,-4.631444444,7.019966667,26,26
Twinriver,2018,5,13.09322043,6.34888172,19.83755914,47.06666667,25.88666667
Twinriver,2018,6,13.70039444,7.2459,20.15488889,75.23333333,41.37833333
Twinriver,2018,7,17.52836022,9.180698925,25.87602151,19.56666667,10.76166667
Twinriver,2018,8,17.21052151,8.835344086,25.58569892,36.68333333,20.17583333
Twinriver,2018,9,8.96335,3.061855556,14.86484444,25.33666667,13.93516667
Twinriver,2018,10,4.678413978,-1.368569892,10.72539785,25.43333333,25.43333333
Twinriver,2018,11,-1.176677778,-6.194166667,3.840811111,27.1,27.1
Twinriver,2018,12,-3.631569892,-8.607634409,1.344494624,15.7,15.7
Twinriver,2019,1,-2.993247312,-8.710913978,2.724419355,15.7,15.7
Twinriver,2019,2,-19.24345833,-24.07678571,-14.41013095,20.9,20.9
Twinriver,2019,3,-3.754489247,-9.527989247,2.019010753,8.733333333,8.733333333
Twinriver,2019,4,4.562533333,-1.698588889,10.82365556,17.06666667,17.06666667
Twinriver,2019,5,8.398591398,2.617698925,14.17948387,64.43333333,35.43833333
Twinriver,2019,6,13.43529444,6.445811111,20.42477778,22,12.1
Twinriver,2019,7,16.57452151,8.71183871,24.4372043,23,12.65
Twinriver,2019,8,16.77860215,9.227741935,24.32946237,31.56666667,17.36166667
Twinriver,2019,9,10.78386111,4.959688889,16.60803333,49.66666667,27.31666667
Twinriver,2019,10,0.503446237,-5.129827957,6.13672043,18,18
Twinriver,2019,11,-2.991966667,-7.569855556,1.585922222,28.96666667,28.96666667
Twinriver,2019,12,-3.34405914,-7.866,1.17788172,5.966666667,5.966666667
